Gene	Phenotype
CACNA1E	HP:0100022,HP:0002072,HP:0000750,HP:0007359,HP:0001263,HP:0012469,HP:0001252,HP:0001763,HP:0001250
PACS1	HP:0001999,HP:0001332,HP:0001263,HP:0000588,HP:0001250,HP:0000687
CACNA1A	HP:0010721,HP:0002019,HP:0002910,HP:0000565,HP:0001263,HP:0001252,HP:0002788,HP:0000687
FGFR1	HP:0100712,HP:0002744,HP:0000957,HP:0000028,HP:0005280,HP:0000218,HP:0001347,HP:0001276,HP:0008551,HP:0001839,HP:0001171,HP:0000486
GABBR2	HP:0100022,HP:0000490,HP:0002007,HP:0001263,HP:0001252,HP:0011327,HP:0000486
AFG3L2	HP:0000463,HP:0010722,HP:0001508,HP:0001263,HP:0000252,HP:0001252,HP:0001250,HP:0004322
PTPN11	HP:0002500,HP:0001633,HP:0001872,HP:0007099,HP:0001631,HP:0200021,HP:0001263,HP:0000365,HP:0000316,HP:0000369,HP:0002562,HP:0000331,HP:0006610
SCN2A	HP:0001263,HP:0001252,HP:0001250
THOC6	HP:0000490,HP:0005280,HP:0008872,HP:0001263,HP:0003186,HP:0009748,HP:0000252,HP:0000308,HP:0001252,HP:0001250,HP:0012775
RECQL4	HP:0000729,HP:0000750,HP:0002007,HP:0000256
HNRNPU	HP:0000739,HP:0007018,HP:0000729,HP:0007598,HP:0000750,HP:0010545,HP:0000577,HP:0007359,HP:0001263,HP:0009719,HP:0002342,HP:0001270,HP:0000545,HP:0000448
ARID1B	HP:0001999,HP:0000463,HP:0000973,HP:0002002,HP:0001508,HP:0011968,HP:0001263,HP:0001601,HP:0000629,HP:0001051,HP:0000582
POMGNT1	HP:0012443,HP:0002910,HP:0000565,HP:0001263,HP:0002352,HP:0003560,HP:0000545,HP:0000103,HP:0000486,HP:0000473,HP:0001537
NR2F1	HP:0011097,HP:0001263,HP:0001250,HP:0100842
UBE3A	HP:0012443,HP:0000750,HP:0002315,HP:0000017,HP:0001250,HP:0002313,HP:0001257
SLC6A8	HP:0100665,HP:0000739,HP:0007018,HP:0100543,HP:0000750,HP:0001328,HP:0000733
CTCF	HP:0001999,HP:0000405,HP:0000378,HP:0002459,HP:0000286,HP:0000338,HP:0000252,HP:0008551,HP:0000384,HP:0001642,HP:0000407,HP:0001328,HP:0005968,HP:0000582,HP:0010775,HP:0001629
UBA1	HP:0011113,HP:0002960,HP:0000518,HP:0012199,HP:0000819,HP:0000365,HP:0003077,HP:0000822,HP:0030166,HP:0200023,HP:0200036,HP:0012089,HP:0002960,HP:0012490
